,PKey,avg_rad,cf_cvg,centroid
139,128,10.368022442631892,10.494194716917992,[78.64301155 19.04428438]
140,128,7.91737860643667,10.287491843051958,[79.2808154  19.24191324]
141,128,4.952432112939677,9.200484979538224,[79.4739532  18.93199446]
142,128,3.149628475537068,9.0,[79.4829363  19.35420331]
143,128,5.529104784535195,9.92740324604702,[78.77326725 19.37216928]
144,128,4.351304269692679,11.0,[79.4874279  19.07123334]
145,128,4.423513565215638,9.0,[74.71737375 16.71315586]
146,129,8.77662341990816,10.0,[74.7443232  16.21009931]
147,129,1.256375586016961,11.0,[75.05873355 16.72663162]
148,129,9.694006275822291,10.913715381358589,[74.73534005 15.42856501]
149,129,8.096330444388963,10.45857364723982,[74.8476295  15.81933236]
150,129,8.28865799571891,11.0,[74.4793202 16.2550155]
151,129,6.46854275245922,11.0,[74.81618845 16.16967573]
152,129,6.268424460787481,10.94871318133308,[74.5736433  16.43467827]
153,129,3.8419565134397526,10.804912165788785,[74.37601395 16.40772898]
154,129,6.767279835904117,10.248945263064996,[74.56466015 15.81933206]
155,129,3.116458139837668,11.0,[74.81618845 16.66374846]
156,129,4.7282146825636024,11.0,[75.03627565 16.39874566]
157,129,2.9355237092598148,11.0,[74.84762945 16.627816  ]
158,129,4.72049980274439,11.0,[75.20695555 16.21009945]
159,129,9.802008594516774,11.0,[75.1126325  15.76992518]
160,129,10.402262763841893,10.63268572078753,[75.09915775 15.8597565 ]
161,129,4.821156701871389,11.0,[75.29229555 15.95407973]
162,129,5.846382853869295,10.315328369447066,[74.77127265 16.49306894]
163,129,6.385337481069424,11.0,[74.59610115 16.2325572 ]
164,129,5.742075467538417,11.0,[74.75779795 16.2415404 ]
165,129,2.8581102753187007,11.0,[74.5107612  15.86424492]
166,129,6.356789372273273,10.972255184233802,[74.03016255 15.4734809 ]
167,130,3.5005178372852837,11.0,[73.8100753  15.60822758]
168,130,4.080618681488763,10.329331446110345,[73.74270165 15.6037365 ]
169,130,4.069610303161465,9.24998883102215,[73.95829735 15.3791577 ]
170,130,3.5461980373993507,10.728123231372592,[73.94931415 15.4150903 ]
171,130,3.657790350923177,10.842520305573833,[73.9448226  15.59475319]
172,130,3.5202990579251696,10.852024153270868,[73.99422995 15.52288875]
173,130,13.540791598033247,10.635403796078663,[73.8145669  15.50492507]
174,130,4.511334708467664,10.267250757845671,[74.05711205 15.4240735 ]
175,130,3.5156146323005038,10.691728660946263,[73.8325332  15.65763545]
176,130,2.0571488983016035,10.932746022336344,[73.98973835 15.4420373 ]
177,130,3.1419202173998486,10.997392923516351,[73.9313479  15.50941549]
178,130,3.2303437157683765,10.750539862211001,[74.00321315 15.5678039 ]
179,130,3.915923661738264,10.7483139756243,[74.98686835 12.50454867]
180,132,3.1053339439444128,9.001741069478895,[79.99946765 13.54210291]
181,133,14.290979641675541,10.0,[80.313878   13.42532191]
182,133,5.776838413658296,10.100073989075348,[79.42454585 13.25464201]
183,133,2.4601713610270144,8.371841785857349,[80.19260545 13.18278315]
185,133,11.186220132767929,11.430215235213305,[80.01294235 13.11989651]
186,133,4.5197892659996795,11.919206227451301,[80.197097   13.33099871]
187,133,3.8862181702468384,11.594297564219834,[80.0443834  13.18726859]
188,133,4.796919188030005,10.401320321478963,[79.9859929 13.3669315]
189,133,3.284947019596111,10.969477453358992,[79.9096361  13.02108037]
