system:index,PKey,nl_intensity,geometry
2001,2218.0,"{avg_rad=4.771162623693878, cf_cvg=9.081163063162165}","{""geodesic"":true,""type"":""Point"",""coordinates"":[91.70002420000078,26.194875427037783]}"
4,1001.0,"{avg_rad=4.34992887006094, cf_cvg=4.366116613258605}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.82068000000032,34.118010686605814]}"
2,1001.0,"{avg_rad=2.19729498576447, cf_cvg=4.404230475294172}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.88356205000386,34.13597578655759]}"
1699,201.0,"{avg_rad=3.032431586435272, cf_cvg=6.336337136077706}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.76678110000002,34.02369776459138]}"
3419,505.0,"{avg_rad=7.92023443813298, cf_cvg=7.399253731967396}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.02317404999921,30.327129454115443]}"
659,1305.0,"{avg_rad=7.456116249897979, cf_cvg=6.782938549212908}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.10402234999975,29.936372862265987]}"
3140,409.0,"{avg_rad=5.98738808255, cf_cvg=8.19186619167946}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.73284310000139,28.853903160645732]}"
1818,209.0,"{avg_rad=5.625630933281134, cf_cvg=5.806433825759182}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.73122155000077,29.442273477160644]}"
4280,909.0,"{avg_rad=5.7778429607022925, cf_cvg=6.479385860185555}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.79410360000017,28.737120831410753]}"
1838,2106.0,"{avg_rad=4.825601903246619, cf_cvg=6.84445601936533}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.3135049000002,28.175653114922678]}"
4250,907.0,"{avg_rad=30.08211883930253, cf_cvg=8.5444362337048}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.22816499999975,28.50805174241884]}"
3124,407.0,"{avg_rad=49.93738667223623, cf_cvg=9.340356403807952}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.29553864999797,28.629310652004403]}"
2754,307.0,"{avg_rad=28.580909357861977, cf_cvg=9.801661861024161}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.28206389999848,28.723631014223695]}"
1798,207.0,"{avg_rad=36.22821630937665, cf_cvg=9.260777491996967}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.2057071000006,28.72362278784119]}"
3876,707.0,"{avg_rad=41.80986316339514, cf_cvg=9.892886295699892}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.06646820000053,28.660794040729378]}"
